2026-01-19 21:28:47,352 | INFO | FAISS | Resultados FAISS: [{'articulo': '03155', 'descripcion': "REDUCCION HEXAGONAL M-H CROMO 1/2'' X 3/8''", 'distancia': 0.9415228366851807}, {'articulo': '03123', 'descripcion': "REDUCCION HEXAGONAL LATON M-H 1/2'' X 1/8''", 'distancia': 0.9819266200065613}, {'articulo': '03156', 'descripcion': "REDUCCION HEXAGONAL M-H CROMO 3/4'' X 1/2''", 'distancia': 0.9920190572738647}, {'articulo': '03124', 'descripcion': "REDUCCION HEXAGONAL LATON M-H 1/2'' X 1/4''", 'distancia': 0.9925047159194946}, {'articulo': '03125', 'descripcion': "REDUCCION HEXAGONAL LATON M-H 1/2'' X 3/8''", 'distancia': 1.0059911012649536}]
2026-01-19 21:28:47,352 | INFO | EXCEL | Buscando producto en Excel: 03155
2026-01-19 21:28:47,353 | INFO | EXCEL | Producto encontrado: {'articulo': '03155', 'descripcion': "REDUCCION HEXAGONAL M-H CROMO 1/2'' X 3/8''", 'stock': 15, 'ubicacion': '0000000000'}
2026-01-19 21:28:47,354 | INFO | EXCEL | Buscando producto en Excel: 03123
2026-01-19 21:28:47,355 | INFO | EXCEL | Producto encontrado: {'articulo': '03123', 'descripcion': "REDUCCION HEXAGONAL LATON M-H 1/2'' X 1/8''", 'stock': 44, 'ubicacion': '0000000000'}
2026-01-19 21:28:47,355 | INFO | EXCEL | Buscando producto en Excel: 03156
2026-01-19 21:28:47,356 | INFO | EXCEL | Producto encontrado: {'articulo': '03156', 'descripcion': "REDUCCION HEXAGONAL M-H CROMO 3/4'' X 1/2''", 'stock': 106, 'ubicacion': '0000000000'}
2026-01-19 21:28:47,356 | INFO | EXCEL | Buscando producto en Excel: 03124
2026-01-19 21:28:47,359 | INFO | EXCEL | Producto encontrado: {'articulo': '03124', 'descripcion': "REDUCCION HEXAGONAL LATON M-H 1/2'' X 1/4''", 'stock': 188, 'ubicacion': '0000000000'}
2026-01-19 21:28:47,359 | INFO | EXCEL | Buscando producto en Excel: 03125
2026-01-19 21:28:47,360 | INFO | EXCEL | Producto encontrado: {'articulo': '03125', 'descripcion': "REDUCCION HEXAGONAL LATON M-H 1/2'' X 3/8''", 'stock': 449, 'ubicacion': '0000000000'}
2026-01-19 21:28:47,360 | INFO | AGENT | Respuesta final generada correctamente
2026-01-19 21:28:47,360 | INFO | API | Respuesta enviada
2026-01-19 21:29:03,652 | INFO | API | Mensaje recibido: lo que quiero es codo de metal
2026-01-19 21:29:03,652 | INFO | AGENT | Procesando mensaje: lo que quiero es codo de metal
2026-01-19 21:29:03,652 | INFO | LLM | Interpretando mensaje: lo que quiero es codo de metal
2026-01-19 21:29:05,225 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-19 21:29:05,226 | INFO | LLM | Atributos técnicos detectados: {'intent': 'consulta_stock', 'producto': 'codo', 'diametro': None, 'unidad': None, 'rosca': None, 'angulo': None, 'material': 'metal'}
2026-01-19 21:29:05,226 | INFO | AGENT | Texto de búsqueda FAISS: codo metal
2026-01-19 21:29:05,226 | INFO | FAISS | Búsqueda semántica para: codo metal
2026-01-19 21:29:05,472 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-01-19 21:29:05,477 | INFO | FAISS | Resultados FAISS: [{'articulo': 'CODO0001', 'descripcion': 'CODO D.15', 'distancia': 0.8599230051040649}, {'articulo': '14540', 'descripcion': "CODO MACHO P.E METAL  20 X 1/2''", 'distancia': 0.8829280734062195}, {'articulo': '14544', 'descripcion': "CODO MACHO P.E METAL  50 X 1 1/2''", 'distancia': 0.8838856220245361}, {'articulo': '14500', 'descripcion': 'CODO P.E METAL  20 X 20', 'distancia': 0.8854901790618896}, {'articulo': '14504', 'descripcion': 'CODO P.E METAL  50 X 50', 'distancia': 0.8861282467842102}]
2026-01-19 21:29:05,478 | INFO | EXCEL | Buscando producto en Excel: CODO0001
2026-01-19 21:29:05,480 | INFO | EXCEL | Producto encontrado: {'articulo': 'CODO0001', 'descripcion': 'CODO D.15', 'stock': 500, 'ubicacion': '0000000000'}
2026-01-19 21:29:05,481 | INFO | EXCEL | Buscando producto en Excel: 14540
2026-01-19 21:29:05,485 | INFO | EXCEL | Producto encontrado: {'articulo': '14540', 'descripcion': "CODO MACHO P.E METAL  20 X 1/2''", 'stock': 34, 'ubicacion': '0000000000'}
2026-01-19 21:29:05,487 | INFO | EXCEL | Buscando producto en Excel: 14544
2026-01-19 21:29:05,489 | INFO | EXCEL | Producto encontrado: {'articulo': '14544', 'descripcion': "CODO MACHO P.E METAL  50 X 1 1/2''", 'stock': 14, 'ubicacion': '0000000000'}
2026-01-19 21:29:05,491 | INFO | EXCEL | Buscando producto en Excel: 14500
2026-01-19 21:29:05,492 | INFO | EXCEL | Producto encontrado: {'articulo': '14500', 'descripcion': 'CODO P.E METAL  20 X 20', 'stock': 32, 'ubicacion': '0000000000'}
2026-01-19 21:29:05,494 | INFO | EXCEL | Buscando producto en Excel: 14504
2026-01-19 21:29:05,499 | INFO | EXCEL | Producto encontrado: {'articulo': '14504', 'descripcion': 'CODO P.E METAL  50 X 50', 'stock': 25, 'ubicacion': '0000000000'}
2026-01-19 21:29:05,502 | INFO | AGENT | Respuesta final generada correctamente
2026-01-19 21:29:05,505 | INFO | API | Respuesta enviada
2026-01-19 21:29:35,574 | INFO | API | Mensaje recibido: tienes calentadores electricos?
2026-01-19 21:29:35,574 | INFO | AGENT | Procesando mensaje: tienes calentadores electricos?
2026-01-19 21:29:35,574 | INFO | LLM | Interpretando mensaje: tienes calentadores electricos?
2026-01-19 21:29:36,847 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-01-19 21:29:36,854 | INFO | LLM | Atributos técnicos detectados: {'intent': 'consulta_stock', 'producto': None, 'diametro': None, 'unidad': None, 'rosca': None, 'angulo': None, 'material': None}
2026-01-19 21:29:36,855 | INFO | AGENT | Texto de búsqueda FAISS: 
2026-01-19 21:29:36,855 | INFO | FAISS | Búsqueda semántica para: 
2026-01-19 21:29:37,295 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
